# technique: CV
# step_index: 0
# timestamp: 2026-03-12T22:09:51.098017
# data_points: 500
# param_e0: 0.0
# param_eh: 0.5
# param_el: -0.5
# param_ef: 0.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 16.3s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Potential/V,Current/A
0.0,1.479e-06
0.001,-2.256e-07
0.002,-4.262e-07
0.003,-8.274e-07
0.004,-2.332e-06
0.005,-1.931e-06
0.006,-1.73e-06
0.007,1.755e-07
0.008,-1.254e-07
0.009,-2.256e-07
0.01,-7.271e-07
0.011,-6.268e-07
0.012,1.755e-07
0.013,3.761e-07
0.014,-2.507e-08
0.015,7.521e-08
0.016,-4.262e-07
0.017,-2.256e-07
0.018,-2.256e-07
0.019,1.755e-07
0.02,7.521e-08
0.021,-1.254e-07
0.022,8.775e-07
0.023,-4.262e-07
0.024,-6.268e-07
0.025,-8.274e-07
0.026,-2.256e-07
0.027,1.755e-07
0.028,-2.256e-07
0.029,7.521e-08
0.03,-2.256e-07
0.031,-2.507e-08
0.032,-5.265e-07
0.033,-6.268e-07
0.034,-4.262e-07
0.035,-1.254e-07
0.036,-5.265e-07
0.037,-5.265e-07
0.038,7.521e-08
0.039,8.775e-07
0.04,8.775e-07
0.041,1.078e-06
0.042,1.88e-06
0.043,1.68e-06
0.044,1.078e-06
0.045,3.761e-07
0.046,1.078e-06
0.047,1.68e-06
0.048,1.479e-06
0.049,1.379e-06
0.05,7.772e-07
0.051,3.761e-07
0.052,2.758e-07
0.053,1.178e-06
0.054,6.769e-07
0.055,7.772e-07
0.056,1.68e-06
0.057,1.58e-06
0.058,2.181e-06
0.059,1.178e-06
0.06,1.279e-06
0.061,8.775e-07
0.062,1.178e-06
0.063,8.775e-07
0.064,1.279e-06
0.065,1.379e-06
0.066,9.778e-07
0.067,8.775e-07
0.068,8.775e-07
0.069,7.772e-07
0.07,9.778e-07
0.071,2.758e-07
0.072,8.775e-07
0.073,9.778e-07
0.074,1.379e-06
0.075,1.981e-06
0.076,1.178e-06
0.077,4.764e-07
0.078,4.764e-07
0.079,5.766e-07
0.08,1.755e-07
0.081,4.764e-07
0.082,1.755e-07
0.083,-3.259e-07
0.084,9.778e-07
0.085,5.766e-07
0.086,4.764e-07
0.087,7.521e-08
0.088,-5.265e-07
0.089,3.761e-07
0.09,1.479e-06
0.091,1.078e-06
0.092,6.769e-07
0.093,-2.507e-08
0.094,7.772e-07
0.095,6.769e-07
0.096,2.758e-07
0.097,5.766e-07
0.098,1.279e-06
0.099,1.279e-06
0.1,1.078e-06
0.101,2.081e-06
0.102,1.981e-06
0.103,1.78e-06
0.104,1.178e-06
0.105,1.178e-06
0.106,1.379e-06
0.107,1.379e-06
0.108,9.778e-07
0.109,2.482e-06
0.11,1.68e-06
0.111,1.78e-06
0.112,-2.507e-08
0.113,1.755e-07
0.114,9.778e-07
0.115,3.761e-07
0.116,-4.262e-07
0.117,1.78e-06
0.118,2.382e-06
0.119,6.769e-07
0.12,1.479e-06
0.121,1.178e-06
0.122,1.379e-06
0.123,5.766e-07
0.124,1.479e-06
0.125,7.772e-07
0.126,5.766e-07
0.127,-2.507e-08
0.128,7.521e-08
0.129,7.521e-08
0.13,-5.265e-07
0.131,7.521e-08
0.132,5.766e-07
0.133,-1.254e-07
0.134,4.764e-07
0.135,3.761e-07
0.136,8.775e-07
0.137,1.078e-06
0.138,1.379e-06
0.139,9.778e-07
0.14,1.379e-06
0.141,1.88e-06
0.142,2.081e-06
0.143,6.769e-07
0.144,1.379e-06
0.145,1.178e-06
0.146,1.379e-06
0.147,2.181e-06
0.148,2.181e-06
0.149,1.479e-06
0.15,1.981e-06
0.151,2.282e-06
0.152,1.88e-06
0.153,1.379e-06
0.154,5.766e-07
0.155,1.078e-06
0.156,2.181e-06
0.157,2.683e-06
0.158,2.582e-06
0.159,2.783e-06
0.16,2.081e-06
0.161,1.68e-06
0.162,1.479e-06
0.163,2.482e-06
0.164,2.482e-06
0.165,1.58e-06
0.166,2.683e-06
0.167,3.184e-06
0.168,3.084e-06
0.169,3.585e-06
0.17,2.984e-06
0.171,2.883e-06
0.172,2.482e-06
0.173,2.382e-06
0.174,3.184e-06
0.175,2.181e-06
0.176,3.284e-06
0.177,2.783e-06
0.178,1.78e-06
0.179,1.88e-06
0.18,1.379e-06
0.181,7.521e-08
0.182,1.279e-06
0.183,1.178e-06
0.184,1.078e-06
0.185,1.981e-06
0.186,1.981e-06
0.187,1.68e-06
0.188,1.981e-06
0.189,1.78e-06
0.19,2.282e-06
0.191,3.886e-06
0.192,3.786e-06
0.193,2.883e-06
0.194,3.385e-06
0.195,3.385e-06
0.196,3.184e-06
0.197,2.883e-06
0.198,2.984e-06
0.199,3.786e-06
0.2,3.986e-06
0.201,3.585e-06
0.202,3.786e-06
0.203,2.883e-06
0.204,3.686e-06
0.205,2.683e-06
0.206,3.184e-06
0.207,2.482e-06
0.208,3.084e-06
0.209,2.783e-06
0.21,3.385e-06
0.211,2.582e-06
0.212,2.683e-06
0.213,2.984e-06
0.214,3.385e-06
0.215,3.084e-06
0.216,2.883e-06
0.217,2.984e-06
0.218,2.783e-06
0.219,3.284e-06
0.22,2.683e-06
0.221,1.078e-06
0.222,2.081e-06
0.223,2.081e-06
0.224,2.683e-06
0.225,2.984e-06
0.226,2.683e-06
0.227,2.984e-06
0.228,1.68e-06
0.229,3.084e-06
0.23,3.084e-06
0.231,2.482e-06
0.232,2.683e-06
0.233,2.582e-06
0.234,2.783e-06
0.235,3.084e-06
0.236,2.883e-06
0.237,3.284e-06
0.238,3.786e-06
0.239,3.786e-06
0.24,4.488e-06
0.241,3.786e-06
0.242,3.385e-06
0.243,2.883e-06
0.244,2.783e-06
0.245,3.485e-06
0.246,2.783e-06
0.247,3.585e-06
0.248,3.686e-06
0.249,3.585e-06
0.25,3.686e-06
0.251,3.786e-06
0.252,3.585e-06
0.253,4.287e-06
0.254,2.582e-06
0.255,1.68e-06
0.256,3.485e-06
0.257,3.686e-06
0.258,3.485e-06
