# technique: ADT
# step_index: 1
# timestamp: 2026-03-23T21:06:24.443036
# data_points: 2500
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 48.5s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Time/sec,Current/A,cycle
1.17,3.687,1
1.18,3.687,1
1.19,3.687,1
1.2,3.687,1
1.21,3.687,1
1.22,3.687,1
1.23,3.687,1
1.24,3.687,1
1.25,3.687,1
1.26,3.687,1
1.27,3.687,1
1.28,3.687,1
1.29,3.687,1
1.3,3.687,1
1.31,3.687,1
1.32,3.687,1
1.33,3.687,1
1.34,3.687,1
1.35,3.687,1
1.36,3.687,1
1.37,3.687,1
1.38,3.687,1
1.39,3.687,1
1.4,3.687,1
1.41,3.687,1
1.42,3.687,1
1.43,3.687,1
1.44,3.687,1
1.45,3.687,1
1.46,3.687,1
1.47,3.687,1
1.48,3.687,1
1.49,3.687,1
1.5,3.687,1
1.51,3.687,1
1.52,3.687,1
1.53,3.687,1
1.54,3.687,1
1.55,3.687,1
1.56,3.687,1
1.57,3.687,1
1.58,3.687,1
1.59,3.687,1
1.6,3.687,1
1.61,3.687,1
1.62,3.687,1
1.63,3.687,1
1.64,3.687,1
1.65,3.687,1
1.66,3.687,1
1.67,3.687,1
1.68,3.687,1
1.69,3.687,1
1.7,3.687,1
1.71,3.687,1
1.72,3.687,1
1.73,3.687,1
1.74,3.687,1
1.75,3.687,1
1.76,3.687,1
1.77,3.687,1
1.78,3.687,1
1.79,3.687,1
1.8,3.687,1
1.81,3.687,1
1.82,3.687,1
1.83,3.687,1
1.84,3.687,1
1.85,3.687,1
1.86,3.687,1
1.87,3.687,1
1.88,3.687,1
1.89,3.687,1
1.9,3.687,1
1.91,3.687,1
1.92,3.687,1
1.93,3.687,1
1.94,3.687,1
1.95,3.687,1
1.96,3.687,1
1.97,3.687,1
1.98,3.687,1
1.99,3.687,1
2.0,3.687,1
2.01,3.687,1
2.02,3.687,1
2.03,3.687,1
2.04,3.687,1
2.05,3.687,1
2.06,3.687,1
2.07,3.687,1
2.08,3.687,1
2.09,3.687,1
2.1,3.687,1
2.11,3.687,1
2.12,3.687,1
2.13,3.687,1
2.14,3.687,1
2.15,3.687,1
2.16,3.687,1
2.17,3.687,1
2.18,3.687,1
2.19,3.687,1
2.2,3.687,1
2.21,3.687,1
2.22,3.687,1
2.23,3.687,1
2.24,3.687,1
2.25,3.687,1
2.26,3.687,1
2.27,3.687,1
2.28,3.687,1
2.29,3.687,1
2.3,3.687,1
2.31,3.687,1
2.32,3.687,1
2.33,3.687,1
2.34,3.687,1
2.35,3.687,1
2.36,3.687,1
2.37,3.687,1
2.38,3.687,1
2.39,3.687,1
2.4,3.687,1
2.41,3.687,1
2.42,3.687,1
2.43,3.687,1
2.44,3.687,1
2.45,3.687,1
2.46,3.687,1
2.47,3.687,1
2.48,3.687,1
2.49,3.687,1
2.5,3.687,1
2.51,3.687,1
2.52,3.687,1
2.53,3.687,1
2.54,3.687,1
2.55,3.687,1
2.56,3.687,1
2.57,3.687,1
2.58,3.687,1
2.59,3.687,1
2.6,3.687,1
2.61,3.687,1
2.62,3.687,1
2.63,3.687,1
2.64,3.687,1
2.65,3.687,1
2.66,3.687,1
2.67,3.687,1
2.68,3.687,1
2.69,3.687,1
2.7,3.687,1
2.71,3.687,1
2.72,3.687,1
2.73,3.687,1
2.74,3.687,1
2.75,3.687,1
2.76,3.687,1
2.77,3.687,1
2.78,3.687,1
2.79,3.687,1
2.8,3.687,1
2.81,3.687,1
2.82,3.687,1
2.83,3.687,1
2.84,3.687,1
2.85,3.687,1
2.86,3.687,1
2.87,3.687,1
2.88,3.687,1
2.89,3.687,1
2.9,3.687,1
2.91,3.687,1
2.92,3.687,1
2.93,3.687,1
2.94,3.687,1
2.95,3.687,1
2.96,3.687,1
2.97,3.687,1
2.98,3.687,1
2.99,3.687,1
3.0,3.687,1
3.0199999999999996,-3.496e-07,1
3.03,-2.972e-07,1
3.0399999999999996,-2.668e-07,1
3.05,-2.448e-07,1
3.0599999999999996,-2.238e-07,1
3.07,-2.071e-07,1
3.0799999999999996,-1.871e-07,1
3.09,-1.861e-07,1
3.0999999999999996,-1.693e-07,1
3.11,-1.578e-07,1
3.1199999999999997,-1.504e-07,1
3.13,-1.379e-07,1
3.1399999999999997,-1.41e-07,1
3.15,-1.442e-07,1
3.1599999999999997,-1.305e-07,1
3.17,-1.117e-07,1
