Potential/V,Current/A
0.0,2.244e-05
0.001,-6.443e-06
0.002,-1.637e-05
0.003,-2.139e-05
0.004,-2.48e-05
0.005,-2.68e-05
0.006,-2.961e-05
0.007,-3.031e-05
0.008,-3.162e-05
0.009,-3.262e-05
0.01,-3.272e-05
0.011,-3.513e-05
0.012,-3.603e-05
0.013,-3.653e-05
0.014,-3.783e-05
0.015,-3.763e-05
0.016,-3.793e-05
0.017,-3.924e-05
0.018,-4.074e-05
0.019,-4.064e-05
0.02,-4.014e-05
0.021,-4.064e-05
0.022,-4.124e-05
0.023,-4.094e-05
0.024,-4.154e-05
0.025,-4.245e-05
0.026,-4.265e-05
0.027,-4.235e-05
0.028,-4.275e-05
0.029,-4.235e-05
0.03,-4.315e-05
0.031,-4.355e-05
0.032,-4.305e-05
0.033,-4.385e-05
0.034,-4.385e-05
0.035,-4.425e-05
0.036,-4.455e-05
0.037,-4.586e-05
0.038,-4.596e-05
0.039,-4.596e-05
0.04,-4.686e-05
0.041,-4.626e-05
0.042,-4.576e-05
0.043,-4.555e-05
0.044,-4.596e-05
0.045,-4.626e-05
0.046,-4.696e-05
0.047,-4.736e-05
0.048,-4.676e-05
0.049,-4.786e-05
0.05,-4.816e-05
0.051,-4.816e-05
0.052,-4.836e-05
0.053,-4.776e-05
0.054,-4.696e-05
0.055,-4.756e-05
0.056,-4.726e-05
0.057,-4.846e-05
0.058,-4.706e-05
0.059,-4.776e-05
0.06,-4.816e-05
0.061,-4.716e-05
0.062,-4.776e-05
0.063,-4.796e-05
0.064,-4.917e-05
0.065,-4.876e-05
0.066,-4.846e-05
0.067,-4.927e-05
0.068,-4.886e-05
0.069,-4.866e-05
0.07,-4.886e-05
0.071,-4.856e-05
0.072,-4.796e-05
0.073,-4.856e-05
0.074,-4.876e-05
0.075,-4.917e-05
0.076,-4.997e-05
0.077,-4.937e-05
0.078,-4.987e-05
0.079,-5.007e-05
0.08,-4.927e-05
0.081,-4.997e-05
0.082,-5.047e-05
0.083,-5.037e-05
0.084,-5.087e-05
0.085,-5.127e-05
0.086,-5.107e-05
0.087,-5.137e-05
0.088,-5.127e-05
0.089,-5.157e-05
0.09,-5.237e-05
0.091,-5.167e-05
0.092,-5.147e-05
0.093,-5.167e-05
0.094,-5.227e-05
0.095,-5.207e-05
0.096,-5.197e-05
0.097,-5.298e-05
0.098,-5.257e-05
0.099,-5.308e-05
0.1,-5.408e-05
0.101,-5.348e-05
0.102,-5.308e-05
0.103,-5.428e-05
0.104,-5.388e-05
0.105,-5.388e-05
0.106,-5.328e-05
0.107,-5.388e-05
0.108,-5.498e-05
0.109,-5.458e-05
0.11,-5.508e-05
0.111,-5.458e-05
0.112,-5.428e-05
0.113,-5.338e-05
0.114,-5.468e-05
0.115,-5.468e-05
0.116,-5.558e-05
0.117,-5.498e-05
0.118,-5.598e-05
0.119,-5.598e-05
0.12,-5.548e-05
0.121,-5.498e-05
0.122,-5.498e-05
0.123,-5.588e-05
0.124,-5.528e-05
0.125,-5.558e-05
0.126,-5.578e-05
0.127,-5.508e-05
0.128,-5.629e-05
0.129,-5.719e-05
0.13,-5.659e-05
0.131,-5.719e-05
0.132,-5.739e-05
0.133,-5.729e-05
0.134,-5.739e-05
0.135,-5.769e-05
0.136,-5.779e-05
0.137,-5.809e-05
0.138,-5.769e-05
0.139,-5.779e-05
0.14,-5.98e-05
0.141,-5.889e-05
0.142,-5.869e-05
0.143,-5.959e-05
0.144,-5.949e-05
0.145,-5.98e-05
0.146,-5.99e-05
0.147,-6.01e-05
0.148,-6.13e-05
0.149,-6.07e-05
0.15,-6.12e-05
0.151,-6.18e-05
0.152,-6.05e-05
0.153,-6.12e-05
0.154,-6.22e-05
0.155,-6.13e-05
0.156,-6.15e-05
0.157,-6.12e-05
0.158,-6.15e-05
0.159,-6.31e-05
0.16,-6.341e-05
0.161,-6.29e-05
0.162,-6.26e-05
0.163,-6.27e-05
0.164,-6.19e-05
0.165,-6.2e-05
0.166,-6.27e-05
0.167,-6.17e-05
0.168,-6.351e-05
0.169,-6.431e-05
0.17,-6.401e-05
0.171,-6.461e-05
0.172,-6.471e-05
0.173,-6.441e-05
0.174,-6.421e-05
0.175,-6.541e-05
0.176,-6.541e-05
0.177,-6.561e-05
0.178,-6.581e-05
0.179,-6.561e-05
0.18,-6.591e-05
0.181,-6.601e-05
0.182,-6.591e-05
0.183,-6.692e-05
0.184,-6.672e-05
0.185,-6.631e-05
0.186,-6.682e-05
0.187,-6.621e-05
0.188,-6.732e-05
0.189,-6.852e-05
0.19,-6.902e-05
0.191,-6.852e-05
0.192,-6.772e-05
0.193,-6.842e-05
0.194,-6.922e-05
0.195,-6.972e-05
0.196,-6.992e-05
0.197,-6.872e-05
0.198,-7.053e-05
0.199,-7.063e-05
0.2,-7.123e-05
0.201,-7.063e-05
0.202,-7.123e-05
0.203,-7.053e-05
0.204,-7.113e-05
0.205,-7.193e-05
0.206,-7.183e-05
0.207,-7.283e-05
0.208,-7.303e-05
0.209,-7.163e-05
0.21,-7.183e-05
0.211,-7.223e-05
0.212,-7.384e-05
0.213,-7.273e-05
0.214,-7.283e-05
0.215,-7.343e-05
0.216,-7.404e-05
0.217,-7.494e-05
0.218,-7.404e-05
0.219,-7.444e-05
0.22,-7.524e-05
0.221,-7.564e-05
0.222,-7.574e-05
0.223,-7.614e-05
0.224,-7.604e-05
0.225,-7.654e-05
0.226,-7.684e-05
0.227,-7.805e-05
0.228,-7.825e-05
0.229,-7.925e-05
0.23,-7.955e-05
0.231,-7.865e-05
0.232,-7.945e-05
0.233,-8.035e-05
0.234,-7.995e-05
0.235,-7.945e-05
0.236,-7.955e-05
0.237,-7.905e-05
0.238,-7.975e-05
0.239,-8.116e-05
0.24,-8.035e-05
0.241,-8.176e-05
0.242,-8.186e-05
0.243,-8.216e-05
0.244,-8.206e-05
0.245,-8.256e-05
0.246,-8.286e-05
0.247,-8.286e-05
0.248,-8.356e-05
0.249,-8.406e-05
0.25,-8.437e-05
0.251,-8.346e-05
0.252,-8.336e-05
0.253,-8.326e-05
0.254,-8.457e-05
0.255,-8.406e-05
0.256,-8.537e-05
0.257,-8.547e-05
0.258,-8.597e-05
0.259,-8.707e-05
0.26,-8.808e-05
0.261,-8.667e-05
0.262,-8.637e-05
0.263,-8.687e-05
0.264,-8.788e-05
0.265,-8.757e-05
0.266,-8.868e-05
0.267,-9.068e-05
0.268,-9.058e-05
0.269,-9.048e-05
0.27,-9.028e-05
0.271,-9.078e-05
0.272,-9.058e-05
0.273,-9.199e-05
0.274,-9.119e-05
0.275,-9.209e-05
0.276,-9.349e-05
0.277,-9.329e-05
0.278,-9.339e-05
0.279,-9.339e-05
0.28,-9.419e-05
0.281,-9.429e-05
0.282,-9.48e-05
0.283,-9.57e-05
0.284,-9.66e-05
0.285,-9.68e-05
0.286,-9.78e-05
0.287,-9.831e-05
0.288,-9.77e-05
0.289,-9.74e-05
0.29,-9.8e-05
0.291,-9.931e-05
0.292,-0.0001
0.293,-9.971e-05
0.294,-0.0001001
0.295,-0.0001012
0.296,-0.0001018
0.297,-0.000102
0.298,-0.0001032
0.299,-0.0001026
0.3,-0.0001034
0.301,-0.000104
0.302,-0.0001038
0.303,-0.0001036
0.304,-0.0001042
0.305,-0.0001047
0.306,-0.0001046
0.307,-0.0001052
0.308,-0.0001055
0.309,-0.0001049
0.31,-0.0001058
0.311,-0.000106
0.312,-0.0001061
0.313,-0.0001072
0.314,-0.000108
0.315,-0.0001085
0.316,-0.0001083
0.317,-0.0001085
0.318,-0.0001087
0.319,-0.00011
0.32,-0.0001105
0.321,-0.0001119
0.322,-0.0001113
0.323,-0.0001122
0.324,-0.0001123
0.325,-0.000113
0.326,-0.0001131
0.327,-0.0001144
0.328,-0.0001146
0.329,-0.0001166
0.33,-0.0001168
0.331,-0.0001175
0.332,-0.0001181
0.333,-0.0001186
0.334,-0.0001187
0.335,-0.00012
0.336,-0.0001207
0.337,-0.0001208
0.338,-0.000121
0.339,-0.0001224
0.34,-0.0001229
0.341,-0.000123
0.342,-0.0001233
0.343,-0.0001235
0.344,-0.0001245
0.345,-0.0001254
0.346,-0.000125
0.347,-0.0001252
0.348,-0.0001258
0.349,-0.0001263
0.35,-0.0001277
0.351,-0.000127
0.352,-0.0001273
0.353,-0.000127
0.354,-0.0001286
0.355,-0.0001288
0.356,-0.0001291
0.357,-0.00013
0.358,-0.000131
0.359,-0.0001323
0.36,-0.0001322
0.361,-0.0001324
0.362,-0.0001316
0.363,-0.0001332
0.364,-0.0001336
0.365,-0.0001352
0.366,-0.0001356
0.367,-0.000136
0.368,-0.0001362
0.369,-0.0001368
0.37,-0.0001372
0.371,-0.000138
0.372,-0.0001383
0.373,-0.000139
0.374,-0.0001395
0.375,-0.0001412
0.376,-0.0001423
0.377,-0.0001418
0.378,-0.0001416
0.379,-0.0001421
0.38,-0.000144
0.381,-0.0001445
0.382,-0.0001441
0.383,-0.0001464
0.384,-0.000145
0.385,-0.0001455
0.386,-0.0001461
0.387,-0.0001463
0.388,-0.0001477
0.389,-0.0001482
0.39,-0.00015
0.391,-0.0001509
0.392,-0.0001511
0.393,-0.0001525
0.394,-0.0001532
0.395,-0.000153
0.396,-0.0001533
0.397,-0.0001543
0.398,-0.0001555
0.399,-0.0001563
0.4,-0.0001574
0.401,-0.0001575
0.402,-0.0001588
0.403,-0.0001588
0.404,-0.0001593
0.405,-0.0001605
0.406,-0.0001615
0.407,-0.0001616
0.408,-0.0001629
0.409,-0.0001625
0.41,-0.0001635
0.411,-0.0001649
0.412,-0.0001649
0.413,-0.0001648
0.414,-0.0001661
0.415,-0.0001665
0.416,-0.0001677
0.417,-0.000169
0.418,-0.0001691
0.419,-0.0001696
0.42,-0.0001708
0.421,-0.0001721
0.422,-0.0001715
0.423,-0.000172
0.424,-0.000173
0.425,-0.0001738
0.426,-0.0001747
0.427,-0.0001764
0.428,-0.0001777
0.429,-0.0001764
0.43,-0.0001773
0.431,-0.0001781
0.432,-0.0001792
0.433,-0.0001797
0.434,-0.0001811
0.435,-0.0001818
0.436,-0.0001828
0.437,-0.0001838
0.438,-0.0001848
0.439,-0.0001856
0.44,-0.0001866
0.441,-0.0001873
0.442,-0.0001882
0.443,-0.0001886
0.444,-0.0001904
0.445,-0.0001903
0.446,-0.0001916
0.447,-0.0001928
0.448,-0.0001918
0.449,-0.000193
0.45,-0.0001939
0.451,-0.0001948
0.452,-0.0001975
0.453,-0.0001972
0.454,-0.0001975
0.455,-0.0001988
0.456,-0.0001988
0.457,-0.0002009
0.458,-0.0002007
0.459,-0.000202
0.46,-0.0002037
0.461,-0.0002047
0.462,-0.0002057
0.463,-0.0002062
0.464,-0.0002059
0.465,-0.0002064
0.466,-0.0002079
0.467,-0.0002083
0.468,-0.0002104
0.469,-0.0002105
0.47,-0.0002121
0.471,-0.0002128
0.472,-0.0002135
0.473,-0.0002144
0.474,-0.0002151
0.475,-0.0002164
0.476,-0.0002175
0.477,-0.000218
0.478,-0.0002189
0.479,-0.0002199
0.48,-0.0002211
0.481,-0.0002223
0.482,-0.0002241
0.483,-0.0002256
0.484,-0.0002278
0.485,-0.0002279
0.486,-0.0002291
0.487,-0.0002302
0.488,-0.0002313
0.489,-0.0002321
0.49,-0.0002328
0.491,-0.0002343
0.492,-0.0002358
0.493,-0.0002367
0.494,-0.000238
0.495,-0.000239
0.496,-0.0002398
0.497,-0.0002403
0.498,-0.0002423
0.499,-0.000243
