Time/sec,Current/A
0.1,2.195e-05
0.2,2.12e-05
0.3,2.059e-05
0.4,1.993e-05
0.5,1.945e-05
0.6,1.888e-05
0.7,1.825e-05
0.8,1.781e-05
0.9,1.732e-05
1.0,1.686e-05
1.1,1.643e-05
1.2,1.601e-05
1.3,1.559e-05
1.4,1.521e-05
1.5,1.483e-05
1.6,1.446e-05
1.7,1.409e-05
1.8,1.379e-05
1.9,1.345e-05
2.0,1.315e-05
2.1,1.284e-05
2.2,1.254e-05
2.3,1.224e-05
2.4,1.196e-05
2.5,1.165e-05
2.6,1.144e-05
2.7,1.11e-05
2.8,1.092e-05
2.9,1.068e-05
3.0,1.048e-05
3.1,1.021e-05
3.2,9.988e-06
3.3,9.768e-06
3.4,9.57e-06
3.5,9.379e-06
3.6,9.152e-06
3.7,8.938e-06
3.8,8.741e-06
3.9,8.583e-06
4.0,8.428e-06
4.1,8.242e-06
4.2,8.035e-06
4.3,7.885e-06
4.4,7.683e-06
4.5,7.526e-06
4.6,7.412e-06
4.7,7.19e-06
4.8,7.077e-06
4.9,6.904e-06
5.0,6.8e-06
5.1,6.621e-06
5.2,6.486e-06
5.3,6.325e-06
5.4,6.18e-06
5.5,6.099e-06
5.6,5.93e-06
5.7,5.796e-06
5.8,5.662e-06
5.9,5.586e-06
6.0,5.404e-06
6.1,5.323e-06
6.2,5.222e-06
6.3,5.059e-06
6.4,4.954e-06
6.5,4.849e-06
6.6,4.781e-06
6.7,4.571e-06
6.8,4.541e-06
6.9,4.423e-06
7.0,4.339e-06
7.1,4.221e-06
7.2,4.12e-06
7.3,4.016e-06
7.4,3.906e-06
7.5,3.818e-06
7.6,3.725e-06
7.7,3.6e-06
7.8,3.55e-06
7.9,3.457e-06
8.0,3.376e-06
8.1,3.264e-06
8.2,3.178e-06
8.3,3.088e-06
8.4,3.036e-06
8.5,2.945e-06
8.6,2.85e-06
8.7,2.743e-06
8.8,2.699e-06
8.9,2.616e-06
9.0,2.54e-06
9.1,2.437e-06
9.2,2.392e-06
9.3,2.314e-06
9.4,2.215e-06
9.5,2.136e-06
9.6,2.098e-06
9.7,1.996e-06
9.8,1.958e-06
9.9,1.868e-06
10.0,1.793e-06
10.1,1.762e-06
10.2,1.682e-06
10.3,1.595e-06
10.4,1.574e-06
