Time/sec,Potential/V
1.0,0.02281
2.0,0.02354
3.0,0.02419
4.0,0.02481
5.0,0.02539
6.0,0.02593
7.0,0.02646
8.0,0.02697
9.0,0.02746
10.0,0.02792
11.0,0.02836
12.0,0.02879
13.0,0.0292
14.0,0.02959
15.0,0.02997
16.0,0.03034
17.0,0.03069
18.0,0.03103
19.0,0.03136
20.0,0.03166
21.0,0.03196
22.0,0.03224
23.0,0.03252
24.0,0.03279
25.0,0.03304
26.0,0.03329
27.0,0.03353
28.0,0.03376
29.0,0.03398
30.0,0.0342
31.0,0.0344
32.0,0.0346
33.0,0.03478
34.0,0.03496
35.0,0.03513
36.0,0.0353
37.0,0.03546
38.0,0.03562
39.0,0.03576
40.0,0.03591
41.0,0.03604
42.0,0.03619
43.0,0.03632
44.0,0.03644
45.0,0.03655
46.0,0.03667
47.0,0.0368
48.0,0.03691
49.0,0.03701
50.0,0.0371
51.0,0.0372
52.0,0.03729
53.0,0.03738
54.0,0.03746
55.0,0.03753
56.0,0.03762
57.0,0.0377
58.0,0.03777
59.0,0.03784
60.0,0.0379
