Freq/Hz,Z'/ohm,"Z""/ohm",Z/ohm,Phase/deg
82520.0,1.742,0.902,1.961,27.4
68120.0,1.722,0.7448,1.876,23.4
56230.0,1.716,0.5937,1.816,19.1
46400.0,1.714,0.4814,1.78,15.7
38280.0,1.714,0.3843,1.757,12.6
31590.0,1.717,0.3088,1.744,10.2
26070.0,1.719,0.2434,1.737,8.1
21530.0,1.722,0.1888,1.733,6.3
17770.0,1.726,0.1407,1.732,4.7
14670.0,1.73,0.09942,1.733,3.3
12110.0,1.735,0.07712,1.737,2.5
9985.0,1.743,0.05996,1.744,2.0
8179.0,1.751,0.02987,1.751,1.0
6738.0,1.759,-0.004344,1.759,-0.1
5566.0,1.767,-0.04004,1.767,-1.3
4590.0,1.774,-0.07309,1.776,-2.4
3809.0,1.783,-0.1029,1.786,-3.3
3125.0,1.793,-0.1337,1.798,-4.3
2588.0,1.804,-0.1694,1.812,-5.4
2148.0,1.817,-0.2093,1.829,-6.6
1758.0,1.833,-0.2533,1.85,-7.9
1465.0,1.851,-0.3024,1.876,-9.3
1196.0,1.873,-0.3571,1.907,-10.8
976.6,1.898,-0.4219,1.945,-12.5
825.4,1.924,-0.4941,1.987,-14.4
681.3,1.954,-0.5697,2.036,-16.3
562.3,1.993,-0.6634,2.1,-18.4
464.2,2.04,-0.7788,2.184,-20.9
383.1,2.086,-0.8942,2.27,-23.2
316.2,2.131,-1.013,2.359,-25.4
261.0,2.185,-1.173,2.48,-28.2
215.4,2.243,-1.358,2.622,-31.2
177.8,2.303,-1.571,2.788,-34.3
146.8,2.377,-1.869,3.024,-38.2
121.2,2.449,-2.186,3.283,-41.8
100.0,2.516,-2.509,3.553,-44.9
82.54,2.599,-2.942,3.926,-48.5
68.13,2.692,-3.46,4.383,-52.1
56.23,2.793,-4.065,4.932,-55.5
46.42,2.917,-4.798,5.615,-58.7
38.31,3.067,-5.688,6.462,-61.7
31.62,3.235,-6.758,7.493,-64.4
26.1,3.421,-8.03,8.728,-66.9
21.54,3.644,-9.569,10.24,-69.2
17.78,3.913,-11.43,12.08,-71.1
14.68,4.224,-13.64,14.28,-72.8
12.12,4.568,-16.21,16.84,-74.3
10.0,4.955,-19.17,19.8,-75.5
8.254,5.413,-22.66,23.3,-76.6
6.813,5.953,-26.9,27.55,-77.5
5.623,6.584,-32.03,32.7,-78.4
4.642,7.316,-38.22,38.91,-79.2
3.831,8.172,-45.65,46.38,-79.9
3.162,9.255,-54.54,55.32,-80.4
2.61,10.53,-65.21,66.05,-80.8
2.154,12.01,-77.98,78.9,-81.2
1.778,13.54,-93.56,94.53,-81.8
1.468,15.32,-112.3,113.3,-82.2
1.212,17.77,-134.3,135.5,-82.5
1.0,20.88,-159.8,161.1,-82.6
