# technique: CV
# step_index: 0
# timestamp: 2026-02-28T22:36:23.687984
# data_points: 500
# param_e0: 0.0
# param_eh: 0.5
# param_el: -0.5
# param_ef: 0.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 17.6s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Potential/V,Current/A
0.0,-2.131e-06
0.001,-2.532e-06
0.002,-2.633e-06
0.003,-2.031e-06
0.004,-1.931e-06
0.005,-1.429e-06
0.006,-2.833e-06
0.007,-2.933e-06
0.008,-2.833e-06
0.009,-3.435e-06
0.01,-2.131e-06
0.011,-2.833e-06
0.012,-2.031e-06
0.013,-1.529e-06
0.014,-2.131e-06
0.015,-1.931e-06
0.016,-2.031e-06
0.017,-1.429e-06
0.018,-1.73e-06
0.019,-1.63e-06
0.02,-1.83e-06
0.021,-1.128e-06
0.022,-1.329e-06
0.023,-2.131e-06
0.024,-1.329e-06
0.025,-1.931e-06
0.026,-2.733e-06
0.027,-2.633e-06
0.028,-2.833e-06
0.029,-3.034e-06
0.03,-3.134e-06
0.031,-2.933e-06
0.032,-2.231e-06
0.033,-2.833e-06
0.034,-2.833e-06
0.035,-2.833e-06
0.036,-2.532e-06
0.037,-2.933e-06
0.038,-3.234e-06
0.039,-3.535e-06
0.04,-2.432e-06
0.041,-2.432e-06
0.042,-2.131e-06
0.043,-3.034e-06
0.044,-2.432e-06
0.045,-1.73e-06
0.046,-2.432e-06
0.047,-3.535e-06
0.048,-3.936e-06
0.049,-3.234e-06
0.05,-2.933e-06
0.051,-2.833e-06
0.052,-2.131e-06
0.053,-1.83e-06
0.054,-2.131e-06
0.055,-2.231e-06
0.056,-1.73e-06
0.057,-2.031e-06
0.058,-2.532e-06
0.059,-2.833e-06
0.06,-3.234e-06
0.061,-2.733e-06
0.062,-3.134e-06
0.063,-2.432e-06
0.064,-2.633e-06
0.065,-2.933e-06
0.066,-2.833e-06
0.067,-3.234e-06
0.068,-2.231e-06
0.069,-2.131e-06
0.07,-2.332e-06
0.071,-2.633e-06
0.072,-2.432e-06
0.073,-1.63e-06
0.074,-2.933e-06
0.075,-3.635e-06
0.076,-3.134e-06
0.077,-3.134e-06
0.078,-3.234e-06
0.079,-4.037e-06
0.08,-4.337e-06
0.081,-4.037e-06
0.082,-3.234e-06
0.083,-3.736e-06
0.084,-3.635e-06
0.085,-3.134e-06
0.086,-3.535e-06
0.087,-3.034e-06
0.088,-4.438e-06
0.089,-3.736e-06
0.09,-4.137e-06
0.091,-3.635e-06
0.092,-3.535e-06
0.093,-3.335e-06
0.094,-3.936e-06
0.095,-3.535e-06
0.096,-3.234e-06
0.097,-3.335e-06
0.098,-3.435e-06
0.099,-3.034e-06
0.1,-2.432e-06
0.101,-3.335e-06
0.102,-2.432e-06
0.103,-2.733e-06
0.104,-3.134e-06
0.105,-2.131e-06
0.106,-2.031e-06
0.107,-2.031e-06
0.108,-2.933e-06
0.109,-2.131e-06
0.11,-2.532e-06
0.111,-3.936e-06
0.112,-3.435e-06
0.113,-3.234e-06
0.114,-2.432e-06
0.115,-3.736e-06
0.116,-3.836e-06
0.117,-3.335e-06
0.118,-2.031e-06
0.119,-1.83e-06
0.12,-1.229e-06
0.121,-1.529e-06
0.122,-2.532e-06
0.123,-2.332e-06
0.124,-2.633e-06
0.125,-3.836e-06
0.126,-3.034e-06
0.127,-3.535e-06
0.128,-3.736e-06
0.129,-2.733e-06
0.13,-2.332e-06
0.131,-2.833e-06
0.132,-2.231e-06
0.133,-2.131e-06
0.134,-3.034e-06
0.135,-2.532e-06
0.136,-3.034e-06
0.137,-3.435e-06
0.138,-3.635e-06
0.139,-3.034e-06
0.14,-3.836e-06
0.141,-3.335e-06
0.142,-3.234e-06
0.143,-2.231e-06
0.144,-2.833e-06
0.145,-2.633e-06
0.146,-3.535e-06
0.147,-3.635e-06
0.148,-4.037e-06
0.149,-4.037e-06
0.15,-3.936e-06
0.151,-4.237e-06
0.152,-3.435e-06
0.153,-2.833e-06
0.154,-3.234e-06
0.155,-2.733e-06
0.156,-2.633e-06
0.157,-3.435e-06
0.158,-3.736e-06
0.159,-3.034e-06
0.16,-3.535e-06
0.161,-3.836e-06
0.162,-2.833e-06
0.163,-3.234e-06
0.164,-2.933e-06
0.165,-3.435e-06
0.166,-2.633e-06
0.167,-3.535e-06
0.168,-2.332e-06
0.169,-3.234e-06
0.17,-3.535e-06
0.171,-3.034e-06
0.172,-3.736e-06
0.173,-4.237e-06
0.174,-3.836e-06
0.175,-3.635e-06
0.176,-3.234e-06
0.177,-3.736e-06
0.178,-4.337e-06
0.179,-3.736e-06
0.18,-3.234e-06
0.181,-2.833e-06
0.182,-4.037e-06
0.183,-3.034e-06
0.184,-4.037e-06
0.185,-3.635e-06
0.186,-4.037e-06
0.187,-4.137e-06
0.188,-3.936e-06
0.189,-3.635e-06
0.19,-3.234e-06
0.191,-4.137e-06
0.192,-4.037e-06
0.193,-3.736e-06
0.194,-4.638e-06
0.195,-5.039e-06
0.196,-3.736e-06
0.197,-4.037e-06
0.198,-3.836e-06
0.199,-3.234e-06
0.2,-3.335e-06
0.201,-3.435e-06
0.202,-3.736e-06
0.203,-3.034e-06
0.204,-3.535e-06
0.205,-2.733e-06
0.206,-2.733e-06
0.207,-3.335e-06
0.208,-1.83e-06
0.209,-1.931e-06
0.21,-2.833e-06
0.211,-1.529e-06
0.212,-2.633e-06
0.213,-2.733e-06
0.214,-2.332e-06
0.215,-2.933e-06
0.216,-1.83e-06
0.217,-1.83e-06
0.218,-2.231e-06
0.219,-2.833e-06
0.22,-2.733e-06
0.221,-2.131e-06
0.222,-2.231e-06
0.223,-2.432e-06
0.224,-3.635e-06
0.225,-3.034e-06
0.226,-2.532e-06
0.227,-2.332e-06
0.228,-2.733e-06
0.229,-2.933e-06
0.23,-3.335e-06
0.231,-1.931e-06
0.232,-3.335e-06
0.233,-3.034e-06
0.234,-4.037e-06
0.235,-3.435e-06
0.236,-3.535e-06
0.237,-2.933e-06
0.238,-2.833e-06
0.239,-2.833e-06
0.24,-3.034e-06
0.241,-3.435e-06
0.242,-2.633e-06
0.243,-3.034e-06
0.244,-3.435e-06
0.245,-3.736e-06
0.246,-3.234e-06
0.247,-2.933e-06
0.248,-2.933e-06
0.249,-3.335e-06
0.25,-2.332e-06
0.251,-2.432e-06
0.252,-2.332e-06
0.253,-3.335e-06
0.254,-3.034e-06
0.255,-2.633e-06
0.256,-2.833e-06
0.257,-2.432e-06
0.258,-2.432e-06
0.259,-1.931e-06
0.26,-3.034e-06
0.261,-1.028e-06
0.262,-2.332e-06
0.263,-2.332e-06
0.264,-2.733e-06
0.265,-4.037e-06
0.266,-3.936e-06
0.267,-3.836e-06
0.268,-3.134e-06
0.269,-2.733e-06
0.27,-3.535e-06
0.271,-2.733e-06
0.272,-2.733e-06
0.273,-3.234e-06
0.274,-2.833e-06
0.275,-2.833e-06
0.276,-3.435e-06
0.277,-2.733e-06
0.278,-3.034e-06
0.279,-1.83e-06
0.28,-2.031e-06
0.281,-2.231e-06
0.282,-2.633e-06
0.283,-3.134e-06
0.284,-2.933e-06
0.285,-4.638e-06
0.286,-4.939e-06
0.287,-4.037e-06
0.288,-3.836e-06
0.289,-3.435e-06
0.29,-2.933e-06
0.291,-2.432e-06
0.292,-3.435e-06
0.293,-3.435e-06
0.294,-2.933e-06
0.295,-2.633e-06
0.296,-2.733e-06
0.297,-2.231e-06
0.298,-2.131e-06
0.299,-2.633e-06
0.3,-2.733e-06
0.301,-2.432e-06
0.302,-2.532e-06
0.303,-2.231e-06
0.304,-2.031e-06
0.305,-2.231e-06
0.306,-1.931e-06
0.307,-2.131e-06
0.308,-1.73e-06
0.309,-1.931e-06
0.31,-3.234e-06
0.311,-2.933e-06
0.312,-3.335e-06
0.313,-4.037e-06
0.314,-2.933e-06
0.315,-3.435e-06
0.316,-3.635e-06
0.317,-3.134e-06
0.318,-3.234e-06
0.319,-3.335e-06
0.32,-2.633e-06
0.321,-2.231e-06
0.322,-1.73e-06
0.323,-3.635e-06
0.324,-3.635e-06
0.325,-3.234e-06
0.326,-3.234e-06
0.327,-3.034e-06
0.328,-2.633e-06
0.329,-2.833e-06
0.33,-2.833e-06
0.331,-1.73e-06
0.332,-3.435e-06
0.333,-3.936e-06
0.334,-3.234e-06
0.335,-3.836e-06
0.336,-3.034e-06
0.337,-3.335e-06
0.338,-3.134e-06
0.339,-3.635e-06
0.34,-2.031e-06
0.341,-1.83e-06
0.342,-1.931e-06
0.343,-2.432e-06
0.344,-2.031e-06
0.345,-2.231e-06
0.346,-2.432e-06
0.347,-2.933e-06
0.348,-1.83e-06
0.349,-3.335e-06
0.35,-3.034e-06
0.351,-2.633e-06
0.352,-2.031e-06
0.353,-2.332e-06
0.354,-2.532e-06
0.355,-3.034e-06
0.356,-2.933e-06
0.357,-2.933e-06
0.358,-4.237e-06
0.359,-4.638e-06
0.36,-5.24e-06
0.361,-4.839e-06
0.362,-3.435e-06
0.363,-3.635e-06
0.364,-3.034e-06
0.365,-3.435e-06
0.366,-3.435e-06
0.367,-3.535e-06
0.368,-2.833e-06
0.369,-3.134e-06
0.37,-3.936e-06
0.371,-4.638e-06
0.372,-2.833e-06
0.373,-3.535e-06
0.374,-2.833e-06
0.375,-2.733e-06
0.376,-2.231e-06
0.377,-2.332e-06
0.378,-2.532e-06
0.379,-2.833e-06
0.38,-3.134e-06
0.381,-2.833e-06
0.382,-2.633e-06
0.383,-3.435e-06
0.384,-3.234e-06
0.385,-3.034e-06
0.386,-2.231e-06
0.387,-2.532e-06
0.388,-3.535e-06
0.389,-3.134e-06
0.39,-2.833e-06
0.391,-3.435e-06
0.392,-3.335e-06
0.393,-3.435e-06
0.394,-3.736e-06
0.395,-3.435e-06
0.396,-2.933e-06
0.397,-2.833e-06
0.398,-3.635e-06
0.399,-2.933e-06
0.4,-2.532e-06
0.401,-3.134e-06
0.402,-2.833e-06
0.403,-1.73e-06
0.404,-2.633e-06
0.405,-3.034e-06
0.406,-2.231e-06
0.407,-1.429e-06
0.408,-2.633e-06
0.409,-2.231e-06
0.41,-2.532e-06
0.411,-1.83e-06
0.412,-2.332e-06
0.413,-2.031e-06
0.414,-2.933e-06
0.415,-2.532e-06
0.416,-1.529e-06
0.417,-2.633e-06
0.418,-2.332e-06
0.419,-2.733e-06
0.42,-2.933e-06
0.421,-2.332e-06
0.422,-2.733e-06
0.423,-2.733e-06
0.424,-2.031e-06
0.425,-2.933e-06
0.426,-2.733e-06
0.427,-3.034e-06
0.428,-2.733e-06
0.429,-1.63e-06
0.43,-3.034e-06
0.431,-2.231e-06
0.432,-2.733e-06
0.433,-2.432e-06
0.434,-2.633e-06
0.435,-2.532e-06
0.436,-2.633e-06
0.437,-2.833e-06
0.438,-3.836e-06
0.439,-3.335e-06
0.44,-3.936e-06
0.441,-3.034e-06
0.442,-3.736e-06
0.443,-4.337e-06
0.444,-3.836e-06
0.445,-3.836e-06
0.446,-3.335e-06
0.447,-3.234e-06
0.448,-3.836e-06
0.449,-3.736e-06
0.45,-4.438e-06
0.451,-3.736e-06
0.452,-3.134e-06
0.453,-3.435e-06
0.454,-2.532e-06
0.455,-2.332e-06
0.456,-1.73e-06
0.457,-2.231e-06
0.458,-2.432e-06
0.459,-1.73e-06
0.46,-1.429e-06
0.461,-1.529e-06
0.462,-1.028e-06
0.463,-2.031e-06
0.464,-2.332e-06
0.465,-2.131e-06
0.466,-1.429e-06
0.467,-1.329e-06
0.468,-2.031e-06
0.469,-1.63e-06
0.47,-1.63e-06
0.471,-1.83e-06
0.472,-1.128e-06
0.473,-1.128e-06
0.474,-1.128e-06
0.475,-9.276e-07
0.476,-2.131e-06
0.477,-1.229e-06
0.478,-1.63e-06
0.479,-2.131e-06
0.48,-1.83e-06
0.481,-1.429e-06
0.482,-1.73e-06
0.483,-1.229e-06
0.484,-1.229e-06
0.485,-2.031e-06
0.486,-1.73e-06
0.487,-1.931e-06
0.488,-1.83e-06
0.489,-1.429e-06
0.49,-1.229e-06
0.491,-7.271e-07
0.492,-1.83e-06
0.493,-1.229e-06
0.494,-2.231e-06
0.495,-2.131e-06
0.496,-2.532e-06
0.497,-3.134e-06
0.498,-3.435e-06
0.499,-3.836e-06
