Potential/V,Current/A
0.0,1.03e-05
0.001,-1.908e-05
0.002,-2.861e-05
0.003,-3.362e-05
0.004,-3.553e-05
0.005,-3.693e-05
0.006,-3.924e-05
0.007,-4.074e-05
0.008,-4.054e-05
0.009,-4.315e-05
0.01,-4.345e-05
0.011,-4.385e-05
0.012,-4.425e-05
0.013,-4.555e-05
0.014,-4.475e-05
0.015,-4.586e-05
0.016,-4.646e-05
0.017,-4.856e-05
0.018,-4.886e-05
0.019,-4.947e-05
0.02,-5.047e-05
0.021,-5.017e-05
0.022,-5.117e-05
0.023,-5.137e-05
0.024,-5.157e-05
0.025,-5.217e-05
0.026,-5.308e-05
0.027,-5.328e-05
0.028,-5.358e-05
0.029,-5.268e-05
0.03,-5.298e-05
0.031,-5.378e-05
0.032,-5.388e-05
0.033,-5.348e-05
0.034,-5.398e-05
0.035,-5.468e-05
0.036,-5.578e-05
0.037,-5.558e-05
0.038,-5.699e-05
0.039,-5.739e-05
0.04,-5.769e-05
0.041,-5.829e-05
0.042,-5.929e-05
0.043,-5.889e-05
0.044,-5.849e-05
0.045,-5.909e-05
0.046,-5.98e-05
0.047,-5.99e-05
0.048,-5.949e-05
0.049,-6.06e-05
0.05,-6e-05
0.051,-6.05e-05
0.052,-6.08e-05
0.053,-6.06e-05
0.054,-6.04e-05
0.055,-5.959e-05
0.056,-5.959e-05
0.057,-6.01e-05
0.058,-5.929e-05
0.059,-6.06e-05
0.06,-6.09e-05
0.061,-6.07e-05
0.062,-6.08e-05
0.063,-6.1e-05
0.064,-6.19e-05
0.065,-6.23e-05
0.066,-6.17e-05
0.067,-6.13e-05
0.068,-6.13e-05
0.069,-6.17e-05
0.07,-6.29e-05
0.071,-6.26e-05
0.072,-6.29e-05
0.073,-6.23e-05
0.074,-6.17e-05
0.075,-6.22e-05
0.076,-6.27e-05
0.077,-6.28e-05
0.078,-6.331e-05
0.079,-6.361e-05
0.08,-6.341e-05
0.081,-6.371e-05
0.082,-6.331e-05
0.083,-6.451e-05
0.084,-6.401e-05
0.085,-6.421e-05
0.086,-6.471e-05
0.087,-6.481e-05
0.088,-6.471e-05
0.089,-6.431e-05
