Potential/V,Current/A
0.0,1.582e-05
0.001,-1.477e-05
0.002,-2.57e-05
0.003,-3.202e-05
0.004,-3.513e-05
0.005,-3.703e-05
0.006,-3.884e-05
0.007,-4.024e-05
0.008,-4.084e-05
0.009,-4.265e-05
0.01,-4.335e-05
0.011,-4.395e-05
0.012,-4.485e-05
0.013,-4.455e-05
0.014,-4.616e-05
0.015,-4.606e-05
0.016,-4.696e-05
0.017,-4.716e-05
0.018,-4.776e-05
0.019,-4.756e-05
0.02,-4.886e-05
0.021,-4.937e-05
0.022,-5.017e-05
0.023,-4.947e-05
0.024,-4.987e-05
0.025,-5.007e-05
0.026,-5.027e-05
0.027,-4.987e-05
0.028,-5.127e-05
0.029,-5.137e-05
0.03,-5.037e-05
0.031,-5.087e-05
0.032,-5.107e-05
0.033,-5.167e-05
0.034,-5.247e-05
0.035,-5.338e-05
0.036,-5.338e-05
0.037,-5.308e-05
0.038,-5.328e-05
0.039,-5.378e-05
0.04,-5.538e-05
0.041,-5.518e-05
0.042,-5.578e-05
0.043,-5.458e-05
0.044,-5.478e-05
0.045,-5.438e-05
0.046,-5.478e-05
0.047,-5.568e-05
0.048,-5.619e-05
0.049,-5.588e-05
0.05,-5.498e-05
0.051,-5.608e-05
0.052,-5.639e-05
0.053,-5.639e-05
0.054,-5.639e-05
0.055,-5.528e-05
0.056,-5.588e-05
0.057,-5.629e-05
0.058,-5.619e-05
0.059,-5.689e-05
0.06,-5.679e-05
0.061,-5.608e-05
0.062,-5.689e-05
0.063,-5.739e-05
0.064,-5.859e-05
0.065,-5.859e-05
0.066,-5.759e-05
0.067,-5.939e-05
0.068,-5.98e-05
0.069,-5.869e-05
0.07,-5.919e-05
0.071,-5.879e-05
0.072,-5.849e-05
0.073,-5.879e-05
0.074,-5.859e-05
0.075,-5.929e-05
0.076,-5.98e-05
0.077,-6e-05
0.078,-6.07e-05
0.079,-6.09e-05
0.08,-6.1e-05
0.081,-6.18e-05
0.082,-6.19e-05
0.083,-6.13e-05
0.084,-6.18e-05
0.085,-6.18e-05
0.086,-6.25e-05
0.087,-6.23e-05
0.088,-6.321e-05
0.089,-6.471e-05
0.09,-6.371e-05
0.091,-6.381e-05
0.092,-6.441e-05
0.093,-6.481e-05
0.094,-6.501e-05
0.095,-6.501e-05
0.096,-6.611e-05
0.097,-6.651e-05
0.098,-6.621e-05
0.099,-6.621e-05
0.1,-6.672e-05
0.101,-6.661e-05
0.102,-6.621e-05
0.103,-6.661e-05
0.104,-6.621e-05
0.105,-6.631e-05
0.106,-6.712e-05
0.107,-6.762e-05
0.108,-6.822e-05
0.109,-6.802e-05
0.11,-6.872e-05
0.111,-6.832e-05
0.112,-6.852e-05
0.113,-6.902e-05
0.114,-6.842e-05
0.115,-6.922e-05
0.116,-6.922e-05
0.117,-6.952e-05
0.118,-7.083e-05
0.119,-7.113e-05
0.12,-7.173e-05
0.121,-7.293e-05
0.122,-7.253e-05
0.123,-7.293e-05
0.124,-7.323e-05
0.125,-7.363e-05
0.126,-7.454e-05
0.127,-7.544e-05
0.128,-7.544e-05
0.129,-7.604e-05
0.13,-7.514e-05
0.131,-7.594e-05
0.132,-7.544e-05
0.133,-7.574e-05
0.134,-7.594e-05
0.135,-7.775e-05
0.136,-7.845e-05
0.137,-7.995e-05
0.138,-7.895e-05
0.139,-8.005e-05
0.14,-8.086e-05
0.141,-8.106e-05
0.142,-8.226e-05
0.143,-8.276e-05
0.144,-8.216e-05
0.145,-8.276e-05
0.146,-8.226e-05
0.147,-8.256e-05
0.148,-8.386e-05
0.149,-8.396e-05
0.15,-8.457e-05
0.151,-8.477e-05
0.152,-8.447e-05
0.153,-8.517e-05
0.154,-8.597e-05
0.155,-8.577e-05
0.156,-8.667e-05
0.157,-8.637e-05
0.158,-8.768e-05
0.159,-8.838e-05
0.16,-8.768e-05
0.161,-8.778e-05
0.162,-8.828e-05
0.163,-8.888e-05
0.164,-8.958e-05
0.165,-9.058e-05
0.166,-9.048e-05
0.167,-9.169e-05
0.168,-9.249e-05
0.169,-9.289e-05
0.17,-9.369e-05
0.171,-9.47e-05
0.172,-9.47e-05
0.173,-9.55e-05
0.174,-9.52e-05
0.175,-9.52e-05
0.176,-9.61e-05
0.177,-9.6e-05
0.178,-9.63e-05
0.179,-9.73e-05
0.18,-9.871e-05
0.181,-9.851e-05
0.182,-9.891e-05
0.183,-9.971e-05
0.184,-0.0001008
0.185,-0.0001017
0.186,-0.0001005
0.187,-0.0001006
0.188,-0.0001018
0.189,-0.0001009
0.19,-0.0001027
0.191,-0.0001035
0.192,-0.0001049
0.193,-0.0001045
0.194,-0.0001046
0.195,-0.0001056
0.196,-0.0001071
0.197,-0.0001062
0.198,-0.0001075
0.199,-0.0001079
0.2,-0.0001075
0.201,-0.0001083
0.202,-0.0001089
0.203,-0.0001085
0.204,-0.0001105
0.205,-0.0001111
0.206,-0.0001104
0.207,-0.0001106
0.208,-0.0001105
0.209,-0.0001109
0.21,-0.0001117
0.211,-0.0001124
0.212,-0.0001135
0.213,-0.000113
0.214,-0.0001137
0.215,-0.0001125
0.216,-0.0001124
0.217,-0.0001153
0.218,-0.0001148
0.219,-0.0001162
0.22,-0.0001162
0.221,-0.0001153
0.222,-0.0001165
0.223,-0.0001168
0.224,-0.0001173
0.225,-0.0001182
0.226,-0.0001186
0.227,-0.0001178
0.228,-0.0001181
0.229,-0.000119
0.23,-0.0001202
0.231,-0.0001202
0.232,-0.000121
0.233,-0.0001214
0.234,-0.0001209
0.235,-0.0001211
0.236,-0.0001229
0.237,-0.0001215
0.238,-0.0001232
0.239,-0.0001246
0.24,-0.0001236
0.241,-0.0001245
0.242,-0.0001252
0.243,-0.0001268
0.244,-0.000127
0.245,-0.0001262
0.246,-0.0001266
0.247,-0.0001267
0.248,-0.0001275
0.249,-0.000128
0.25,-0.0001286
0.251,-0.0001286
0.252,-0.0001288
0.253,-0.0001301
0.254,-0.0001301
0.255,-0.0001315
0.256,-0.000132
0.257,-0.0001312
0.258,-0.0001324
0.259,-0.0001328
0.26,-0.0001333
0.261,-0.0001339
0.262,-0.0001345
0.263,-0.0001342
0.264,-0.0001359
0.265,-0.000135
0.266,-0.0001353
0.267,-0.0001366
0.268,-0.0001374
0.269,-0.0001378
0.27,-0.0001375
0.271,-0.0001379
0.272,-0.0001386
0.273,-0.0001395
0.274,-0.0001393
0.275,-0.000139
0.276,-0.0001403
0.277,-0.0001404
0.278,-0.0001406
0.279,-0.0001414
0.28,-0.0001411
0.281,-0.0001424
0.282,-0.000142
0.283,-0.0001425
0.284,-0.0001454
0.285,-0.0001455
0.286,-0.000146
0.287,-0.0001467
0.288,-0.0001446
0.289,-0.0001476
0.29,-0.0001463
0.291,-0.0001478
0.292,-0.0001476
0.293,-0.0001474
0.294,-0.0001483
0.295,-0.0001481
0.296,-0.0001486
0.297,-0.0001486
0.298,-0.0001498
0.299,-0.0001495
0.3,-0.0001498
0.301,-0.0001514
0.302,-0.0001513
0.303,-0.000151
0.304,-0.0001511
0.305,-0.0001521
0.306,-0.0001531
0.307,-0.0001533
0.308,-0.0001544
0.309,-0.0001555
0.31,-0.0001539
0.311,-0.0001542
0.312,-0.000156
0.313,-0.0001566
0.314,-0.0001578
0.315,-0.0001576
0.316,-0.0001592
0.317,-0.0001596
0.318,-0.00016
0.319,-0.0001595
0.32,-0.0001589
0.321,-0.0001587
0.322,-0.0001589
0.323,-0.0001598
0.324,-0.0001602
0.325,-0.0001602
0.326,-0.0001602
0.327,-0.0001609
0.328,-0.0001623
0.329,-0.0001621
0.33,-0.000162
0.331,-0.0001632
0.332,-0.0001632
0.333,-0.000164
0.334,-0.0001649
0.335,-0.0001657
0.336,-0.0001656
0.337,-0.0001667
0.338,-0.0001669
0.339,-0.0001681
0.34,-0.0001688
0.341,-0.0001687
0.342,-0.0001693
0.343,-0.0001701
0.344,-0.0001702
0.345,-0.0001703
0.346,-0.0001716
0.347,-0.0001717
0.348,-0.0001719
0.349,-0.0001723
0.35,-0.0001736
0.351,-0.0001741
0.352,-0.0001742
0.353,-0.0001753
0.354,-0.0001749
0.355,-0.0001751
0.356,-0.0001759
0.357,-0.0001756
0.358,-0.0001765
0.359,-0.0001773
0.36,-0.0001767
0.361,-0.0001772
0.362,-0.0001778
0.363,-0.0001791
0.364,-0.0001795
0.365,-0.0001796
0.366,-0.0001802
0.367,-0.0001813
0.368,-0.0001807
0.369,-0.0001806
0.37,-0.000181
0.371,-0.0001822
0.372,-0.0001827
0.373,-0.0001827
0.374,-0.0001827
0.375,-0.0001835
0.376,-0.0001838
0.377,-0.0001846
0.378,-0.0001856
0.379,-0.0001853
0.38,-0.0001865
0.381,-0.0001863
0.382,-0.0001876
0.383,-0.0001875
0.384,-0.0001865
0.385,-0.0001888
0.386,-0.0001894
0.387,-0.0001886
0.388,-0.00019
0.389,-0.0001905
0.39,-0.0001912
0.391,-0.0001922
0.392,-0.0001919
0.393,-0.0001922
0.394,-0.0001924
0.395,-0.0001929
0.396,-0.0001945
0.397,-0.0001942
0.398,-0.0001946
0.399,-0.0001955
0.4,-0.0001954
0.401,-0.0001953
0.402,-0.0001967
0.403,-0.0001958
0.404,-0.0001968
0.405,-0.000197
0.406,-0.0001965
0.407,-0.0001978
0.408,-0.0001987
0.409,-0.0001993
0.41,-0.0002014
0.411,-0.0002017
0.412,-0.0002013
0.413,-0.0002012
0.414,-0.0002023
0.415,-0.0002029
0.416,-0.0002032
0.417,-0.000203
0.418,-0.0002036
0.419,-0.0002046
0.42,-0.0002042
0.421,-0.0002045
0.422,-0.000206
0.423,-0.0002049
0.424,-0.0002064
0.425,-0.0002074
0.426,-0.0002066
0.427,-0.0002068
0.428,-0.0002083
0.429,-0.0002092
0.43,-0.0002093
0.431,-0.0002098
0.432,-0.0002098
0.433,-0.0002102
0.434,-0.0002107
0.435,-0.0002115
0.436,-0.0002116
0.437,-0.0002123
0.438,-0.000212
0.439,-0.0002124
0.44,-0.0002124
0.441,-0.0002122
0.442,-0.0002126
0.443,-0.0002135
0.444,-0.0002153
0.445,-0.0002159
0.446,-0.000216
0.447,-0.0002155
0.448,-0.000216
0.449,-0.0002155
0.45,-0.0002164
0.451,-0.0002169
0.452,-0.0002168
0.453,-0.0002172
0.454,-0.0002183
0.455,-0.000219
0.456,-0.0002193
0.457,-0.0002198
0.458,-0.0002198
0.459,-0.0002207
0.46,-0.0002208
0.461,-0.0002213
0.462,-0.0002215
0.463,-0.0002218
0.464,-0.0002219
0.465,-0.0002221
0.466,-0.0002231
0.467,-0.000224
0.468,-0.0002243
0.469,-0.0002245
0.47,-0.0002243
0.471,-0.0002246
0.472,-0.0002251
0.473,-0.0002252
0.474,-0.0002254
0.475,-0.0002257
0.476,-0.0002264
0.477,-0.0002266
0.478,-0.0002269
0.479,-0.0002267
0.48,-0.000228
0.481,-0.0002286
0.482,-0.0002286
0.483,-0.0002293
0.484,-0.0002296
0.485,-0.0002297
0.486,-0.0002307
0.487,-0.0002297
0.488,-0.0002316
0.489,-0.0002318
0.49,-0.0002325
0.491,-0.0002327
0.492,-0.0002338
0.493,-0.0002333
0.494,-0.0002334
0.495,-0.0002341
0.496,-0.0002339
0.497,-0.0002351
0.498,-0.0002349
0.499,-0.0002352
