Potential/V,Current/A
0.0,9.101e-06
0.001,9.201e-06
0.002,8.8e-06
0.003,9.602e-06
0.004,9.201e-06
0.005,8.399e-06
0.006,9.402e-06
0.007,9.101e-06
0.008,8.8e-06
0.009,8.6e-06
0.01,9.703e-06
0.011,8.399e-06
0.012,8.299e-06
0.013,7.797e-06
0.014,8.7e-06
0.015,9.302e-06
0.016,9.001e-06
0.017,9.201e-06
0.018,8.499e-06
0.019,8.198e-06
0.02,8.299e-06
0.021,9.001e-06
0.022,9.201e-06
0.023,9.602e-06
0.024,9.903e-06
0.025,9.502e-06
0.026,1.05e-05
0.027,9.903e-06
0.028,1.071e-05
0.029,1.05e-05
0.03,1.01e-05
0.031,9.402e-06
0.032,9.302e-06
0.033,9.101e-06
0.034,7.998e-06
0.035,8.399e-06
0.036,8.6e-06
0.037,8.7e-06
0.038,7.998e-06
0.039,8.499e-06
0.04,8.098e-06
0.041,9.001e-06
0.042,7.898e-06
0.043,8.299e-06
0.044,8.9e-06
0.045,8.098e-06
0.046,8.299e-06
0.047,8.299e-06
0.048,7.597e-06
0.049,7.597e-06
0.05,6.594e-06
0.051,6.895e-06
0.052,7.396e-06
0.053,8.6e-06
0.054,9.602e-06
0.055,8.399e-06
0.056,8.299e-06
0.057,9.201e-06
0.058,9.201e-06
0.059,9.201e-06
0.06,9.703e-06
0.061,9.703e-06
0.062,8.9e-06
0.063,1e-05
0.064,8.6e-06
0.065,9.001e-06
0.066,9.703e-06
0.067,8.9e-06
0.068,9.602e-06
0.069,1.03e-05
0.07,9.602e-06
0.071,9.201e-06
0.072,9.502e-06
0.073,8.198e-06
0.074,8.299e-06
0.075,8.198e-06
0.076,8.399e-06
0.077,7.797e-06
0.078,8.098e-06
0.079,8.198e-06
0.08,7.998e-06
0.081,7.196e-06
0.082,7.496e-06
0.083,8.399e-06
0.084,7.998e-06
0.085,7.797e-06
0.086,8.198e-06
0.087,9.001e-06
0.088,8.9e-06
0.089,9.101e-06
0.09,9.001e-06
0.091,8.6e-06
0.092,8.198e-06
0.093,7.496e-06
0.094,7.597e-06
0.095,7.095e-06
0.096,6.995e-06
0.097,8.399e-06
0.098,8.499e-06
0.099,8.399e-06
0.1,8.499e-06
0.101,8.7e-06
0.102,8.6e-06
0.103,9.803e-06
0.104,9.602e-06
0.105,9.402e-06
0.106,9.001e-06
0.107,9.201e-06
0.108,8.9e-06
0.109,7.797e-06
0.11,8.7e-06
0.111,8.7e-06
0.112,7.898e-06
0.113,7.496e-06
0.114,6.694e-06
0.115,7.196e-06
0.116,7.396e-06
0.117,7.496e-06
0.118,7.396e-06
0.119,8.098e-06
0.12,8.6e-06
0.121,9.101e-06
0.122,7.797e-06
0.123,8.098e-06
0.124,7.396e-06
0.125,8.499e-06
0.126,7.998e-06
0.127,7.998e-06
0.128,7.998e-06
0.129,7.597e-06
0.13,7.797e-06
0.131,7.597e-06
0.132,8.399e-06
0.133,8.299e-06
0.134,7.998e-06
0.135,7.898e-06
0.136,7.797e-06
0.137,7.998e-06
0.138,8.098e-06
0.139,8.6e-06
0.14,8.399e-06
0.141,6.995e-06
0.142,7.196e-06
0.143,7.797e-06
0.144,7.898e-06
0.145,7.797e-06
0.146,7.396e-06
0.147,6.995e-06
0.148,9.001e-06
0.149,7.697e-06
0.15,7.396e-06
0.151,7.597e-06
0.152,8.198e-06
0.153,8.8e-06
0.154,8.399e-06
0.155,7.296e-06
0.156,7.898e-06
0.157,8.399e-06
0.158,6.694e-06
0.159,6.995e-06
0.16,7.196e-06
0.161,7.898e-06
0.162,7.496e-06
0.163,7.597e-06
0.164,7.797e-06
0.165,7.597e-06
0.166,8.399e-06
0.167,8.198e-06
0.168,8.499e-06
0.169,8.7e-06
0.17,8.9e-06
0.171,8.299e-06
0.172,7.296e-06
0.173,8.198e-06
0.174,8.299e-06
0.175,7.597e-06
0.176,7.496e-06
0.177,8.198e-06
0.178,7.797e-06
0.179,7.898e-06
0.18,8.399e-06
0.181,7.898e-06
0.182,8.399e-06
0.183,7.998e-06
0.184,7.898e-06
0.185,8.098e-06
0.186,7.998e-06
0.187,8.9e-06
0.188,8.499e-06
0.189,7.998e-06
0.19,8.499e-06
0.191,6.995e-06
0.192,6.092e-06
0.193,6.594e-06
0.194,6.895e-06
0.195,6.393e-06
0.196,6.193e-06
0.197,6.494e-06
0.198,6.494e-06
0.199,7.898e-06
0.2,7.797e-06
0.201,8.098e-06
0.202,8.6e-06
0.203,8.198e-06
0.204,8.098e-06
0.205,8.098e-06
0.206,7.898e-06
0.207,8.299e-06
0.208,8.198e-06
0.209,7.697e-06
0.21,7.998e-06
0.211,8.098e-06
0.212,8.399e-06
0.213,6.995e-06
0.214,7.597e-06
0.215,7.296e-06
0.216,7.296e-06
0.217,7.296e-06
0.218,7.496e-06
0.219,7.797e-06
0.22,7.196e-06
0.221,6.995e-06
0.222,7.396e-06
0.223,8.198e-06
0.224,7.396e-06
0.225,7.597e-06
0.226,7.196e-06
0.227,7.697e-06
0.228,7.095e-06
0.229,7.396e-06
0.23,7.196e-06
0.231,6.895e-06
0.232,7.296e-06
0.233,8.198e-06
0.234,7.797e-06
0.235,7.196e-06
0.236,6.995e-06
0.237,7.396e-06
0.238,7.998e-06
0.239,7.898e-06
0.24,7.898e-06
0.241,6.594e-06
0.242,6.995e-06
0.243,7.095e-06
0.244,7.396e-06
0.245,7.095e-06
0.246,8.098e-06
0.247,7.296e-06
0.248,6.995e-06
0.249,7.496e-06
0.25,7.597e-06
0.251,7.296e-06
0.252,8.098e-06
0.253,6.895e-06
0.254,6.895e-06
0.255,7.597e-06
0.256,7.296e-06
0.257,6.995e-06
0.258,6.092e-06
0.259,5.892e-06
0.26,6.794e-06
0.261,6.895e-06
0.262,7.496e-06
0.263,6.694e-06
0.264,6.594e-06
0.265,6.393e-06
0.266,5.892e-06
0.267,7.296e-06
0.268,6.995e-06
0.269,7.597e-06
0.27,7.697e-06
0.271,7.898e-06
0.272,7.196e-06
0.273,7.496e-06
0.274,7.496e-06
0.275,7.697e-06
0.276,7.898e-06
0.277,8.399e-06
0.278,8.399e-06
0.279,7.697e-06
0.28,6.694e-06
0.281,8.7e-06
0.282,9.602e-06
0.283,9.703e-06
0.284,9.502e-06
0.285,8.8e-06
0.286,8.7e-06
0.287,9.502e-06
0.288,8.499e-06
0.289,9.001e-06
0.29,8.299e-06
0.291,6.995e-06
0.292,7.597e-06
0.293,7.196e-06
0.294,7.797e-06
0.295,8.8e-06
0.296,7.396e-06
0.297,7.496e-06
0.298,7.296e-06
0.299,7.396e-06
0.3,7.095e-06
0.301,7.196e-06
0.302,6.995e-06
0.303,8.299e-06
0.304,7.597e-06
0.305,7.196e-06
0.306,7.396e-06
0.307,7.496e-06
0.308,7.797e-06
0.309,7.496e-06
0.31,8.098e-06
0.311,7.697e-06
0.312,8.399e-06
0.313,7.898e-06
0.314,7.998e-06
0.315,7.898e-06
0.316,8.299e-06
0.317,8.399e-06
0.318,9.602e-06
0.319,8.8e-06
0.32,8.399e-06
0.321,8.6e-06
0.322,7.296e-06
0.323,7.898e-06
0.324,7.597e-06
0.325,7.396e-06
0.326,8.098e-06
0.327,8.7e-06
0.328,8.399e-06
0.329,7.898e-06
0.33,8.399e-06
0.331,8.299e-06
0.332,7.998e-06
0.333,7.998e-06
0.334,8.7e-06
0.335,7.697e-06
0.336,7.898e-06
0.337,8.198e-06
0.338,7.296e-06
0.339,7.496e-06
0.34,7.898e-06
0.341,6.594e-06
0.342,6.594e-06
0.343,7.095e-06
0.344,6.594e-06
0.345,6.594e-06
0.346,6.895e-06
0.347,6.293e-06
0.348,7.396e-06
0.349,7.597e-06
0.35,6.293e-06
0.351,6.293e-06
0.352,6.694e-06
0.353,6.995e-06
0.354,6.895e-06
0.355,7.396e-06
0.356,7.396e-06
0.357,6.995e-06
0.358,6.995e-06
0.359,7.697e-06
0.36,7.797e-06
0.361,7.095e-06
0.362,7.095e-06
0.363,7.296e-06
0.364,8.198e-06
0.365,7.296e-06
0.366,7.396e-06
0.367,7.998e-06
0.368,7.396e-06
0.369,7.196e-06
0.37,7.697e-06
0.371,7.697e-06
0.372,7.095e-06
0.373,7.898e-06
0.374,7.597e-06
0.375,7.496e-06
0.376,7.496e-06
0.377,7.396e-06
0.378,8.8e-06
0.379,8.7e-06
0.38,8.7e-06
0.381,6.995e-06
0.382,7.697e-06
0.383,7.496e-06
0.384,7.095e-06
0.385,7.998e-06
0.386,7.898e-06
0.387,8.299e-06
0.388,7.296e-06
0.389,7.597e-06
0.39,7.296e-06
0.391,6.895e-06
0.392,6.694e-06
0.393,6.594e-06
0.394,6.393e-06
0.395,6.494e-06
0.396,6.293e-06
0.397,6.193e-06
0.398,5.992e-06
0.399,7.095e-06
0.4,6.794e-06
0.401,6.895e-06
0.402,6.794e-06
0.403,7.597e-06
0.404,7.396e-06
0.405,7.697e-06
0.406,7.597e-06
0.407,8.198e-06
0.408,8.399e-06
0.409,8.098e-06
0.41,8.299e-06
0.411,8.499e-06
0.412,8.399e-06
0.413,7.998e-06
0.414,8.098e-06
0.415,7.998e-06
0.416,7.697e-06
0.417,8.6e-06
0.418,7.797e-06
0.419,8.198e-06
0.42,8.399e-06
0.421,6.895e-06
0.422,7.597e-06
0.423,7.597e-06
0.424,8.198e-06
0.425,7.597e-06
0.426,7.196e-06
