Potential/V,Current/A
0.0,6.293e-06
0.001,5.09e-06
0.002,4.889e-06
0.003,5.39e-06
0.004,4.588e-06
0.005,4.989e-06
0.006,5.591e-06
0.007,5.29e-06
0.008,5.39e-06
0.009,5.992e-06
0.01,5.29e-06
0.011,5.09e-06
0.012,5.39e-06
0.013,5.892e-06
0.014,5.792e-06
0.015,6.193e-06
0.016,5.792e-06
0.017,5.691e-06
0.018,5.39e-06
0.019,5.892e-06
0.02,5.29e-06
0.021,6.594e-06
0.022,6.694e-06
0.023,6.193e-06
0.024,5.29e-06
0.025,5.992e-06
0.026,6.694e-06
0.027,6.694e-06
0.028,6.594e-06
0.029,6.995e-06
0.03,7.396e-06
0.031,7.095e-06
0.032,5.992e-06
0.033,5.491e-06
0.034,6.594e-06
0.035,6.995e-06
0.036,6.293e-06
0.037,4.488e-06
0.038,5.992e-06
0.039,5.29e-06
0.04,5.992e-06
0.041,6.694e-06
0.042,5.39e-06
0.043,4.388e-06
0.044,5.39e-06
0.045,5.491e-06
0.046,5.39e-06
0.047,5.792e-06
0.048,5.491e-06
0.049,5.09e-06
0.05,4.989e-06
0.051,5.09e-06
0.052,5.792e-06
0.053,6.293e-06
0.054,4.688e-06
0.055,6.393e-06
0.056,6.594e-06
0.057,6.393e-06
0.058,5.39e-06
0.059,6.092e-06
0.06,6.193e-06
0.061,5.792e-06
0.062,5.792e-06
0.063,6.393e-06
0.064,6.995e-06
0.065,6.694e-06
0.066,6.193e-06
0.067,6.293e-06
0.068,5.792e-06
0.069,5.992e-06
0.07,5.892e-06
0.071,5.491e-06
0.072,5.591e-06
0.073,5.992e-06
0.074,5.591e-06
0.075,4.588e-06
0.076,6.092e-06
0.077,5.892e-06
0.078,5.691e-06
0.079,5.792e-06
0.08,5.792e-06
0.081,4.989e-06
0.082,5.39e-06
0.083,5.29e-06
0.084,5.992e-06
0.085,5.992e-06
0.086,4.789e-06
0.087,6.193e-06
0.088,5.992e-06
0.089,5.29e-06
0.09,5.691e-06
0.091,5.491e-06
0.092,6.092e-06
0.093,4.889e-06
0.094,4.889e-06
0.095,4.588e-06
0.096,5.19e-06
0.097,5.29e-06
0.098,5.491e-06
0.099,5.29e-06
0.1,5.792e-06
0.101,6.293e-06
0.102,6.494e-06
0.103,6.494e-06
0.104,5.691e-06
0.105,5.792e-06
0.106,6.393e-06
0.107,6.193e-06
0.108,6.092e-06
0.109,5.892e-06
0.11,5.491e-06
0.111,5.591e-06
0.112,5.691e-06
0.113,5.39e-06
0.114,6.092e-06
0.115,5.691e-06
0.116,6.293e-06
0.117,5.491e-06
0.118,4.989e-06
0.119,4.989e-06
0.12,5.792e-06
0.121,5.992e-06
0.122,6.694e-06
0.123,6.794e-06
0.124,6.393e-06
0.125,5.19e-06
0.126,5.09e-06
0.127,5.892e-06
0.128,6.193e-06
0.129,6.393e-06
0.13,5.591e-06
0.131,5.591e-06
0.132,6.794e-06
0.133,5.892e-06
0.134,6.494e-06
0.135,5.892e-06
0.136,5.691e-06
0.137,6.193e-06
0.138,6.193e-06
0.139,5.691e-06
0.14,5.792e-06
0.141,6.293e-06
0.142,6.092e-06
0.143,5.39e-06
0.144,5.792e-06
0.145,5.691e-06
0.146,6.293e-06
0.147,5.892e-06
0.148,5.792e-06
0.149,4.588e-06
0.15,6.092e-06
0.151,5.591e-06
0.152,5.29e-06
0.153,5.39e-06
0.154,6.393e-06
0.155,7.396e-06
0.156,6.594e-06
0.157,6.895e-06
0.158,5.892e-06
0.159,6.092e-06
0.16,4.989e-06
0.161,6.293e-06
0.162,5.29e-06
0.163,5.491e-06
0.164,5.792e-06
