Potential/V,Current/A
0.0,1.712e-05
0.001,-9.853e-06
0.002,-1.988e-05
0.003,-2.349e-05
0.004,-2.65e-05
0.005,-2.8e-05
0.006,-2.971e-05
0.007,-3.172e-05
0.008,-3.352e-05
0.009,-3.452e-05
0.01,-3.482e-05
0.011,-3.533e-05
0.012,-3.723e-05
0.013,-3.623e-05
0.014,-3.743e-05
0.015,-3.823e-05
0.016,-3.934e-05
0.017,-3.914e-05
0.018,-3.954e-05
0.019,-3.954e-05
0.02,-3.944e-05
0.021,-4.004e-05
0.022,-4.134e-05
0.023,-4.154e-05
0.024,-4.225e-05
0.025,-4.204e-05
0.026,-4.285e-05
0.027,-4.225e-05
0.028,-4.365e-05
0.029,-4.215e-05
0.03,-4.345e-05
0.031,-4.385e-05
0.032,-4.425e-05
0.033,-4.485e-05
0.034,-4.405e-05
0.035,-4.385e-05
0.036,-4.455e-05
0.037,-4.445e-05
0.038,-4.405e-05
0.039,-4.465e-05
0.04,-4.566e-05
0.041,-4.636e-05
0.042,-4.636e-05
0.043,-4.636e-05
0.044,-4.646e-05
0.045,-4.636e-05
0.046,-4.676e-05
0.047,-4.696e-05
0.048,-4.686e-05
0.049,-4.716e-05
0.05,-4.756e-05
0.051,-4.746e-05
0.052,-4.786e-05
0.053,-4.786e-05
0.054,-4.706e-05
0.055,-4.756e-05
0.056,-4.736e-05
0.057,-4.666e-05
0.058,-4.756e-05
0.059,-4.756e-05
0.06,-4.806e-05
0.061,-4.896e-05
0.062,-4.937e-05
0.063,-4.906e-05
0.064,-4.927e-05
0.065,-4.917e-05
0.066,-4.846e-05
0.067,-4.856e-05
0.068,-4.866e-05
0.069,-4.937e-05
0.07,-4.917e-05
0.071,-4.876e-05
0.072,-4.967e-05
0.073,-4.977e-05
0.074,-4.927e-05
0.075,-4.967e-05
0.076,-4.927e-05
0.077,-4.987e-05
0.078,-4.997e-05
0.079,-5.057e-05
0.08,-5.027e-05
0.081,-5.077e-05
0.082,-5.067e-05
0.083,-4.997e-05
0.084,-5.037e-05
0.085,-4.917e-05
0.086,-5.017e-05
0.087,-4.977e-05
0.088,-5.047e-05
0.089,-5.037e-05
0.09,-5.077e-05
0.091,-5.107e-05
0.092,-5.177e-05
0.093,-5.117e-05
0.094,-5.137e-05
0.095,-5.107e-05
0.096,-5.077e-05
0.097,-5.217e-05
0.098,-5.247e-05
0.099,-5.177e-05
0.1,-5.147e-05
0.101,-5.097e-05
0.102,-5.207e-05
0.103,-5.247e-05
0.104,-5.207e-05
0.105,-5.187e-05
0.106,-5.177e-05
0.107,-5.338e-05
0.108,-5.197e-05
0.109,-5.288e-05
0.11,-5.348e-05
0.111,-5.298e-05
0.112,-5.237e-05
0.113,-5.257e-05
0.114,-5.358e-05
0.115,-5.268e-05
0.116,-5.298e-05
0.117,-5.227e-05
0.118,-5.268e-05
0.119,-5.268e-05
0.12,-5.268e-05
0.121,-5.298e-05
0.122,-5.378e-05
0.123,-5.328e-05
0.124,-5.518e-05
0.125,-5.388e-05
0.126,-5.418e-05
0.127,-5.498e-05
0.128,-5.458e-05
0.129,-5.438e-05
0.13,-5.488e-05
0.131,-5.478e-05
0.132,-5.538e-05
0.133,-5.518e-05
0.134,-5.548e-05
0.135,-5.619e-05
0.136,-5.538e-05
0.137,-5.518e-05
0.138,-5.538e-05
0.139,-5.548e-05
0.14,-5.608e-05
0.141,-5.669e-05
0.142,-5.619e-05
0.143,-5.578e-05
0.144,-5.749e-05
0.145,-5.719e-05
0.146,-5.759e-05
0.147,-5.649e-05
0.148,-5.829e-05
0.149,-5.829e-05
0.15,-5.919e-05
0.151,-5.729e-05
0.152,-5.709e-05
0.153,-5.709e-05
0.154,-5.739e-05
0.155,-5.659e-05
0.156,-5.769e-05
0.157,-5.849e-05
0.158,-5.889e-05
0.159,-5.939e-05
0.16,-5.899e-05
0.161,-5.909e-05
0.162,-6.01e-05
0.163,-5.909e-05
0.164,-5.98e-05
0.165,-5.98e-05
0.166,-6.04e-05
0.167,-6.13e-05
0.168,-6.2e-05
0.169,-6.2e-05
0.17,-6.17e-05
0.171,-6.14e-05
0.172,-6.12e-05
0.173,-6.22e-05
0.174,-6.13e-05
0.175,-6.22e-05
0.176,-6.21e-05
0.177,-6.22e-05
0.178,-6.25e-05
0.179,-6.19e-05
0.18,-6.28e-05
0.181,-6.21e-05
0.182,-6.22e-05
0.183,-6.31e-05
0.184,-6.331e-05
0.185,-6.491e-05
0.186,-6.431e-05
0.187,-6.501e-05
0.188,-6.531e-05
0.189,-6.571e-05
0.19,-6.531e-05
0.191,-6.591e-05
0.192,-6.621e-05
0.193,-6.621e-05
0.194,-6.712e-05
0.195,-6.621e-05
0.196,-6.641e-05
0.197,-6.702e-05
0.198,-6.722e-05
0.199,-6.772e-05
0.2,-6.882e-05
0.201,-6.802e-05
0.202,-6.792e-05
0.203,-6.772e-05
0.204,-6.832e-05
0.205,-6.872e-05
0.206,-6.882e-05
0.207,-6.872e-05
0.208,-6.852e-05
0.209,-6.922e-05
0.21,-6.852e-05
0.211,-6.902e-05
0.212,-6.942e-05
0.213,-6.952e-05
0.214,-7.043e-05
0.215,-7.012e-05
0.216,-7.033e-05
0.217,-7.123e-05
0.218,-7.083e-05
0.219,-7.043e-05
0.22,-7.133e-05
0.221,-7.093e-05
0.222,-7.233e-05
0.223,-7.223e-05
0.224,-7.293e-05
0.225,-7.343e-05
0.226,-7.374e-05
0.227,-7.323e-05
0.228,-7.283e-05
0.229,-7.333e-05
0.23,-7.394e-05
0.231,-7.323e-05
0.232,-7.404e-05
0.233,-7.394e-05
0.234,-7.474e-05
0.235,-7.454e-05
0.236,-7.524e-05
0.237,-7.484e-05
0.238,-7.524e-05
0.239,-7.674e-05
0.24,-7.725e-05
0.241,-7.775e-05
0.242,-7.855e-05
0.243,-7.815e-05
0.244,-7.775e-05
0.245,-7.714e-05
0.246,-7.755e-05
0.247,-7.785e-05
0.248,-7.845e-05
0.249,-7.925e-05
0.25,-7.955e-05
0.251,-7.945e-05
0.252,-7.995e-05
0.253,-7.995e-05
0.254,-8.106e-05
0.255,-8.106e-05
0.256,-8.136e-05
0.257,-8.126e-05
0.258,-8.246e-05
0.259,-8.296e-05
0.26,-8.386e-05
0.261,-8.376e-05
0.262,-8.457e-05
0.263,-8.326e-05
0.264,-8.386e-05
0.265,-8.326e-05
0.266,-8.376e-05
0.267,-8.507e-05
0.268,-8.637e-05
0.269,-8.687e-05
0.27,-8.607e-05
0.271,-8.737e-05
0.272,-8.697e-05
0.273,-8.788e-05
0.274,-8.828e-05
0.275,-8.858e-05
0.276,-8.828e-05
0.277,-8.918e-05
0.278,-8.998e-05
0.279,-9.129e-05
0.28,-9.199e-05
