timestamp,pump_addr,operation,direction,rpm,volume_ul,duration_s,mode,encoder_counts
2026-04-09T22:32:38.287209,1,prep_sol_inject,REV,200,40000.0,137.07,position,-7376568
2026-04-09T22:32:39.652049,2,prep_sol_inject,REV,200,16000.0,55.41,position,-2916746
2026-04-09T22:32:41.001334,3,prep_sol_inject,REV,200,24000.0,70.7,position,-3751708
