# technique: CV
# step_index: 3
# timestamp: 2026-02-27T00:51:55.429471
# data_points: 500
# param_e0: 0.0
# param_eh: 0.5
# param_el: -0.5
# param_ef: 0.0
# param_scan_rate: 0.05
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 17.4s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Potential/V,Current/A
0.25,-2.833e-06
0.251,-4.137e-06
0.252,-4.438e-06
0.253,-3.936e-06
0.254,-4.237e-06
0.255,-3.635e-06
0.256,-3.234e-06
0.257,-3.535e-06
0.258,-3.034e-06
0.259,-2.231e-06
0.26,-2.532e-06
0.261,-3.234e-06
0.262,-3.736e-06
0.263,-3.335e-06
0.264,-4.438e-06
0.265,-4.337e-06
0.266,-3.736e-06
0.267,-4.739e-06
0.268,-4.137e-06
0.269,-4.739e-06
0.27,-3.936e-06
0.271,-4.137e-06
0.272,-4.939e-06
0.273,-5.039e-06
0.274,-5.441e-06
0.275,-3.836e-06
0.276,-4.337e-06
0.277,-5.039e-06
0.278,-3.836e-06
0.279,-4.438e-06
0.28,-4.337e-06
0.281,-3.836e-06
0.282,-3.736e-06
0.283,-4.037e-06
0.284,-3.134e-06
0.285,-3.134e-06
0.286,-3.836e-06
0.287,-3.736e-06
0.288,-4.037e-06
0.289,-4.137e-06
0.29,-3.836e-06
0.291,-3.034e-06
0.292,-4.237e-06
0.293,-4.037e-06
0.294,-3.335e-06
0.295,-4.037e-06
0.296,-3.535e-06
0.297,-3.936e-06
0.298,-3.936e-06
0.299,-3.836e-06
0.3,-4.638e-06
0.301,-4.237e-06
0.302,-3.836e-06
0.303,-2.733e-06
0.304,-3.335e-06
0.305,-3.736e-06
0.306,-3.435e-06
0.307,-3.134e-06
0.308,-3.635e-06
0.309,-3.535e-06
0.31,-3.836e-06
0.311,-3.836e-06
0.312,-3.134e-06
0.313,-1.73e-06
0.314,-1.931e-06
0.315,-2.532e-06
0.316,-3.034e-06
0.317,-3.335e-06
0.318,-3.435e-06
0.319,-4.137e-06
0.32,-3.535e-06
0.321,-2.231e-06
0.322,-3.234e-06
0.323,-3.736e-06
0.324,-4.438e-06
0.325,-4.438e-06
0.326,-4.137e-06
0.327,-4.237e-06
0.328,-4.438e-06
0.329,-4.237e-06
0.33,-4.638e-06
0.331,-5.24e-06
0.332,-5.14e-06
0.333,-3.936e-06
0.334,-3.936e-06
0.335,-4.739e-06
0.336,-4.839e-06
0.337,-4.739e-06
0.338,-4.137e-06
0.339,-4.638e-06
0.34,-4.438e-06
0.341,-4.037e-06
0.342,-4.237e-06
0.343,-4.438e-06
0.344,-3.635e-06
0.345,-4.037e-06
0.346,-3.936e-06
0.347,-4.538e-06
0.348,-4.137e-06
0.349,-3.435e-06
0.35,-3.736e-06
0.351,-4.538e-06
0.352,-4.939e-06
0.353,-3.736e-06
0.354,-3.836e-06
0.355,-4.638e-06
0.356,-4.638e-06
0.357,-4.137e-06
0.358,-3.635e-06
0.359,-2.933e-06
0.36,-3.335e-06
0.361,-4.237e-06
0.362,-4.137e-06
0.363,-4.337e-06
0.364,-5.24e-06
0.365,-5.641e-06
0.366,-5.741e-06
0.367,-5.039e-06
0.368,-5.541e-06
0.369,-5.441e-06
0.37,-4.037e-06
0.371,-3.736e-06
0.372,-3.635e-06
0.373,-4.538e-06
0.374,-3.836e-06
0.375,-3.335e-06
0.376,-4.137e-06
0.377,-4.739e-06
0.378,-4.739e-06
0.379,-3.635e-06
0.38,-3.736e-06
0.381,-3.936e-06
0.382,-3.936e-06
0.383,-3.335e-06
0.384,-3.736e-06
0.385,-3.234e-06
0.386,-3.736e-06
0.387,-4.638e-06
0.388,-3.134e-06
0.389,-3.335e-06
0.39,-2.332e-06
0.391,-3.034e-06
0.392,-2.833e-06
0.393,-2.432e-06
0.394,-3.435e-06
0.395,-3.134e-06
0.396,-3.435e-06
0.397,-4.037e-06
0.398,-3.635e-06
0.399,-4.839e-06
0.4,-4.739e-06
0.401,-3.635e-06
0.402,-3.234e-06
0.403,-3.936e-06
0.404,-4.739e-06
